Date,Open ,High,Low,Close,Adj Close,Volume,Datetimes
"Mar 6, 2023",317,323.3,311.84,312.03,312.03,"5,660,700",2023-03-06
"Mar 7, 2023",312.68,314.3,306.62,308.47,308.47,"4,553,100",2023-03-07
"Mar 8, 2023",309.29,311.83,305.75,311.79,311.79,"3,479,500",2023-03-08
"Mar 9, 2023",312.08,312.51,294.88,297.78,297.78,"7,443,400",2023-03-09
"Mar 10, 2023",297.9,298.79,289,292.76,292.76,"5,759,300",2023-03-10
"Mar 13, 2023",287.34,299.24,285.33,293.51,293.51,"6,292,400",2023-03-13
"Mar 14, 2023",295.97,297.45,290.31,294.94,294.94,"5,956,700",2023-03-14
"Mar 15, 2023",292.51,306.31,292.28,303.79,303.79,"9,215,300",2023-03-15
"Mar 16, 2023",304.75,316.6,301.71,310.06,310.06,"7,903,700",2023-03-16
"Mar 17, 2023",310.06,310.76,300,303.5,303.5,"6,918,800",2023-03-17
"Mar 20, 2023",299.79,307.5,296,305.13,305.13,"5,113,400",2023-03-20
"Mar 21, 2023",306.32,307.92,300.43,305.79,305.79,"4,886,300",2023-03-21
"Mar 22, 2023",306.31,306.45,293.54,293.9,293.9,"5,808,000",2023-03-22
"Mar 23, 2023",304.68,322.78,304.14,320.37,320.37,"15,653,300",2023-03-23
"Mar 24, 2023",320.63,331.83,320.63,328.39,328.39,"12,991,700",2023-03-24
"Mar 27, 2023",327.55,336.44,324.41,327.66,327.66,"8,625,800",2023-03-27
"Mar 28, 2023",326.06,333.32,321.28,323.52,323.52,"6,489,400",2023-03-28
"Mar 29, 2023",326.29,332.85,325.73,332.03,332.03,"6,287,300",2023-03-29
"Mar 30, 2023",340.27,343.29,335.3,338.43,338.43,"7,131,500",2023-03-30
"Mar 31, 2023",340.05,345.84,337.2,345.48,345.48,"5,610,200",2023-03-31
"Apr 3, 2023",341.83,348.58,340.4,348.28,348.28,"4,413,700",2023-04-03
"Apr 4, 2023",348.49,349.8,343.95,346.75,346.75,"3,298,100",2023-04-04
"Apr 5, 2023",345.3,345.43,336.25,342.35,342.35,"4,205,500",2023-04-05
"Apr 6, 2023",339.34,340.48,332.63,339.33,339.33,"4,660,500",2023-04-06
"Apr 10, 2023",335.27,339.88,333.36,338.99,338.99,"2,657,900",2023-04-10
